Outcome,SMILES,PUBCHEM_CID
0.0,CCNC(=O)C1CC(NC(=O)CCC2=CC=CC=C2)CN1CC1=CN=CN1,72856698.0
0.0,CCCN1N=CC(N2CCC(C(=O)N(CCC3=CC=NC=C3)CC3CCCO3)CC2)=CC1=O,124041129.0
0.0,CC1=CC=C2OCC(=O)N(CCCC(=O)N3CCC4=C(C3)C(=O)N3NC(C5=CC=CC=C5)=CC3=N4)C2=C1,87052591.0
0.0,CC1=CC=C2OCC(=O)N(CCCC(=O)N3CCC4=C(C3)N=C3C=C(C5=CC=CC=C5)NN3C4=O)C2=C1,87052511.0
0.0,COCCN1CC(CNC2=NC(CCN)=NC3=C2C(C)=C(C)S3)CC1=O,50953454.0
0.0,CC1=CC(C)=CC(N2N=CC3=C2CCCC3NC(=O)CCN2N=NN=C2C)=C1,72871946.0
0.0,COC1=CC=C(C2=NN(C3=CC=CC=C3C)C=C2CN(C)C(C)C2=CC=NC=N2)C=C1F,45183192.0
0.0,CCN(C(C)=O)C1CCN(C2=NC(CCN)=NC3=C2C(C)=C(C)S3)C1,50964955.0
0.0,CC1=CC(C(=O)NC2CC(C)(C)CC3=NC(C(C)(C)C)=NC=C32)=NN1,72852170.0
0.0,CN(C)C1=CC=C(CNC2CC(C)(C)C3CC(C)(O)CCC23CCC(=O)N2CCOCC2)C=C1,25317938.0
0.0,CCOCC(=O)NC1=NN(C2=CC=CC(F)=C2)C2=CC=CC(N3CCOC3=O)=C12,70762699.0
0.0,CN1N=CC2=C(NC3CC4C(=O)NCC(=O)N4C3)N=C(C3CCCC3)N=C21,56888227.0
0.0,CCC(=O)NC1=CC=CC(C2OC(=O)N(CC3=CC=C(C)C=C3)C2C(=O)NCC2CCCO2)=C1,46021314.0
0.0,COC(=O)C1CC(NC(=O)CCCC2=CC=CS2)CN1C,50969276.0
0.0,COCCN1C=NN=C1C(C)NC1=NC(C2=CC=CN=C2)=NC2=C1CNC2,56911793.0
0.0,O=C(C1CCCCN2N=NN=C12)N1CCC2=C(C1)NC(C1=CC=CN=C1)=N2,77084977.0
0.0,CC1=C(C(=O)N2CCOCC2)N=C(C2CCN(C(=O)CCC3=CC(Cl)=NO3)CC2)O1,124071878.0
0.0,O=C(C1=CC=C(Br)O1)N1C2=CC=CC=C2CC1C1=NN=C(C2CCOCC2)O1,91903881.0
0.0,CCCC1=NC(C)=CC(N2CCC3(CC2)C(C(=O)O)CC(=O)N3C)=N1,72918726.0
0.0,COC1=CC=CC=C1CCN1CCCC(CN(C)C(=O)CN2C(=O)CNC2=O)C1,72918301.0
0.0,CC1=NN(C)C(CNC(=O)C2CC(=O)N(C(C)(C)C)C2)=C1,70761669.0
0.0,COCCN1CC2C(C3=CC=CC=C31)C(CO)C(C1=CC=CC=C1)N2C(=O)COC(C)=O,134786314.0
0.0,COC(=O)C1=NN2CCCN(C(=O)C3CCCCN4N=NN=C34)CC2=C1,50952081.0
0.0,CN1C(=O)C2=C(N=CN2CC(=O)N2CCCC(CC3=NN=CN3C3=CC=CC=C3)C2)N(C)C1=O,91924115.0
0.0,CC1=CC(=O)N(CC(=O)NC2CCOCC2OC2=CC=CC=N2)N=C1C,91759779.0
0.0,COCCN(C)CC1CN(C(=O)C2=CC=CC3=C2NC(C)=C3C)CC1CO,70705959.0
0.0,CN1C(C(=O)O)CC(C(=O)NCCCO)C1C1=CC=CC=C1F,56746646.0
0.0,CN(CC1CCN(CCC2=CC=CC(F)=C2)CC1)C(=O)COC1=CC=CN=C1,72867934.0
0.0,COC1=CC=C2OC(C)(C)C=C(C(=O)N3CCN(C4=CC=C5OC(C(=O)O)=CC5=C4Cl)CC3)C2=C1,134786905.0
0.0,CC1=NOC(CN(C)C(=O)C2=NOC(COC3=CN=CC(Cl)=C3)=C2)=C1,56760396.0
0.0,COCCN1C(COC2=CC=C(S(C)(=O)=O)C=C2)=NN=C1C1CC(N)C1,91764152.0
0.0,CC1=NN(C)C(C)=C1S(=O)(=O)N1CCCC(CC2=NN=CN2C(C)C)C1,91911867.0
0.0,CN(CC1=NOC(C2CC2)=C1)CC1=NN=C(C2CC(N)C2)N1C1CC1,91786155.0
0.0,O=C(CC1OC(CNCC2=CC=C(F)C=C2)C(O)C1O)NCCN1CCOCC1,25390470.0
0.0,O=C(O)C1=CC=CC(C2CCCN(C(=O)CCCN3C=CN=C3)C2)=C1,72879737.0
0.0,CCNC1=NC=C(C(=O)NC(C)C2=C(C)N(C3=CC=CC=C3C)N=C2)C=N1,72929851.0
0.0,CC(C)C1CN(C(=O)C2=C3CCCCC3=CS2)CC1NS(C)(=O)=O,70715494.0
0.0,CC1=CN=C(C)C(C2=CC(O)=C3OCCN(C(=O)C4CCNC4)CC3=C2)=N1,56703385.0
0.0,CCOC(=O)C1C(O)C(=O)N(CC2=CC=CC=C2)C12CCN(C(=O)C1=C(C)OC(C)=C1)CC2,134786355.0
0.0,CN(C)CC1CC(CO)CN(C(=O)CC2=CC3=C(C=C2Cl)OCCO3)C1,72899370.0
0.0,COC1=CC=C(C2=NN(C3=CC=CC=C3C)C=C2CN(C)CC2=NON=C2C)C=C1F,28810217.0
0.0,COCC1=NN=CN1C1CCN(S(=O)(=O)C2=CC=C(F)C=C2F)CC1,91905078.0
0.0,CCC1=CN=C(C)N=C1N1CCC2(CC1)CC(C1=CC=CC=C1)C(=O)N2C,72891322.0
0.0,CC(C)OC1=CC(N(C)CC2CC(=O)N(C(C)(C)C)C2)=NC(N)=N1,50974711.0
0.0,O=C(CCN1C=NC=N1)NCC1=CC=CN=C1OC1=CC=CC(C(F)(F)F)=C1,42521683.0
0.0,COC1=CC=C(CN(C)C2CCC3=NN(C)C(=O)N3CC2)C=C1CN1C=CC=N1,91922767.0
0.0,CC1=CC=C(C2=NC=C(C(=O)N3CCC(NC4=NC=CC=N4)CC3)C(=O)N2)C=C1,70724441.0
0.0,CCN(CC1=NOC(C)=N1)C(=O)C1=COC(COC2=CC=C3OCOC3=C2)=N1,72843852.0
0.0,O=[S+]1([O-])C(C2=CC=CC=C2)C(COCC2=CC=CC=C2)CN1C1=CC=CC=C1,134786822.0
0.0,CC1=CC=C(OC2(C(=O)NCC3=CC=CC=C3N3C=CN=C3)CCNCC2)C=C1,70772828.0
0.0,CSCC1=NOC(CNC(=O)C2=CN(CCN)N=N2)=N1,70710422.0
0.0,N#CC1=CC=CN=C1N1CCC(N2CCC(O)CC2)C(O)C1,56877761.0
0.0,CC1=NC(N2CCC(NCCN3CCCOC3=O)CC2)=C2C=CSC2=N1,72915183.0
0.0,O=C(NCCCN1C=CN=C1)C1=CC=C(C2CCCNC2)C=C1,72850421.0
0.0,COC1=CC=C(C(C(=O)O)N2CCN(CC3=CSC(C)=N3)CC2)C(C)=C1,72857662.0
0.0,O=C(NCC1(N2CCOCC2)CCCC1)C1=COC(COC2=CC=CC(F)=C2)=N1,28822865.0
0.0,COC1=CC=CC=C1C1=NOC(CCCC(=O)N2CCC3=C(C2)NC=N3)=N1,72844573.0
0.0,COC1=CC=CC=C1C1=C(NCCC(=O)NC2=CC=C3OCOC3=C2)N2C=CN=CC2=N1,53039967.0
0.0,CC(CC1=CC=CN=C1)NC1=CC=C(C2=NC=CN2C)N=N1,56760614.0
0.0,O=C(CC1=CN=C2C=CC=CN12)NC1CCOCC1OC1=CC=CC=N1,91768030.0
0.0,O=C(C1=CC=CC2=NC=CN=C12)N1CCOC(C(F)(F)F)C1,56903927.0
0.0,CN(C)C1=NC(NCCN2CCOC2=O)=NC=C1F,72906073.0
0.0,O=C(NCCC1=CN=CN1)C1CC2C(=O)NCCCCCCN(S(=O)(=O)C3=CC=CC=C3)C2C1,110199240.0
0.0,CN1CCN(CC2=CC=CC(OCC(O)CN3CCOCC3)=C2)CC1(C)C,72861383.0
0.0,COCC1=NOC(CN2N=CC(N(C)CCC3=CC=CC=C3)=CC2=O)=N1,56911241.0
0.0,O=C(C1=CC=CO1)N1C2=CC=CC=C2CC1C1=NN=C(C2CCOCC2)O1,91903882.0
0.0,COCC(=O)NC(CN1C=CC(=O)NC1=O)C(=O)O,56774526.0
0.0,FC(F)OC1=CC=CC=C1CN1CCCC12CCN(C1=NC=CC=N1)CC2,70760482.0
0.0,CC1=CN=C(C)C(C2=CC(O)=C3OCCN(C(=O)C4CCOC4)CC3=C2)=N1,56716524.0
0.0,CC1=CC=C2C=C(CCC(=O)N3CCOCC3)C(=O)NC2=C1,53174871.0
